,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.08145745595296223,0.014297419730553618,0.003989060719807942,1.1239159602905075e-07,0.001,0,newton-cg,"{'C': 0.001, 'random_state': 0, 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,25
1,0.019298315048217773,0.0004808378868775846,0.0043061574300130205,0.00046005587133304214,0.001,0,lbfgs,"{'C': 0.001, 'random_state': 0, 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,25
2,0.019946734110514324,0.0008147827727028482,0.0036560694376627603,0.000469292815075954,0.001,0,liblinear,"{'C': 0.001, 'random_state': 0, 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,25
3,0.10538466771443684,0.014664243531275087,0.0033235549926757812,0.00046985356120602274,0.01,0,newton-cg,"{'C': 0.01, 'random_state': 0, 'solver': 'newton-cg'}",0.0,0.0019627085377821396,0.0,0.0006542361792607131,0.0009252296777056561,23
4,0.03756554921468099,0.002487991736966344,0.0039895375569661455,1.1239159602905075e-07,0.01,0,lbfgs,"{'C': 0.01, 'random_state': 0, 'solver': 'lbfgs'}",0.0,0.0019627085377821396,0.0,0.0006542361792607131,0.0009252296777056561,23
5,0.024268706639607746,0.000469797234388504,0.005328257878621419,0.0012567341807854624,0.01,0,liblinear,"{'C': 0.01, 'random_state': 0, 'solver': 'liblinear'}",0.00390625,0.0,0.003925417075564278,0.0026105539303369245,0.001845956971616188,22
6,0.11936561266581218,0.07291770114969831,0.004653215408325195,0.0009403809877020573,0.1,0,newton-cg,"{'C': 0.1, 'random_state': 0, 'solver': 'newton-cg'}",0.07468123861566484,0.0776173285198556,0.060054595086442224,0.07078573164438819,0.007680612304962832,19
7,0.0588380495707194,0.014790510797076715,0.004986127217610677,0.00141051458389762,0.1,0,lbfgs,"{'C': 0.1, 'random_state': 0, 'solver': 'lbfgs'}",0.07468123861566484,0.0776173285198556,0.060054595086442224,0.07078573164438819,0.007680612304962832,19
8,0.04488062858581543,0.001410233715764708,0.004985491434733073,0.00081458810475976,0.1,0,liblinear,"{'C': 0.1, 'random_state': 0, 'solver': 'liblinear'}",0.07803992740471868,0.07090909090909091,0.06,0.06965133070044958,0.007418275161791116,21
9,0.1592414379119873,0.08796658373467382,0.004654804865519206,0.0009394252814686571,1,0,newton-cg,"{'C': 1, 'random_state': 0, 'solver': 'newton-cg'}",0.11642050390964376,0.12436115843270869,0.09098862642169729,0.11059243352859999,0.014233257415008369,18
10,0.09574357668558757,0.03384987611107649,0.006317536036173503,0.0009406614680009069,1,0,lbfgs,"{'C': 1, 'random_state': 0, 'solver': 'lbfgs'}",0.11642050390964376,0.12595744680851062,0.09098862642169729,0.1111245296538673,0.014758199062136114,16
11,0.08676807085673015,0.014406984023168099,0.0066492557525634766,0.0012446436501874472,1,0,liblinear,"{'C': 1, 'random_state': 0, 'solver': 'liblinear'}",0.11488250652741513,0.12436115843270869,0.09257641921397379,0.11060874472812844,0.013322588221500748,17
12,0.2327102025349935,0.05759359333718996,0.005984862645467122,0.0014109641502646154,5,0,newton-cg,"{'C': 5, 'random_state': 0, 'solver': 'newton-cg'}",0.12392426850258174,0.13266162888329136,0.10043290043290042,0.11900842487425431,0.013608050748076847,12
13,0.12233964602152507,0.013239220666704988,0.007313330968221028,0.00047030288538686807,5,0,lbfgs,"{'C': 5, 'random_state': 0, 'solver': 'lbfgs'}",0.12403100775193798,0.13266162888329136,0.10043290043290042,0.11904401443373089,0.013620994191568035,10
14,0.08942659695943196,0.01186456256913961,0.007645765940348308,0.00046996554950971706,5,0,liblinear,"{'C': 5, 'random_state': 0, 'solver': 'liblinear'}",0.12403100775193798,0.13266162888329136,0.10043290043290042,0.11904401443373089,0.013620994191568035,10
15,0.21277356147766113,0.02811939993990045,0.006648619969685872,0.0012433270566220823,10,0,newton-cg,"{'C': 10, 'random_state': 0, 'solver': 'newton-cg'}",0.12392426850258174,0.1325503355704698,0.10043290043290042,0.11897132710331382,0.013570880250801326,14
16,0.11735272407531738,0.032534431469037256,0.0063165028889973955,0.001244494989112861,10,0,lbfgs,"{'C': 10, 'random_state': 0, 'solver': 'lbfgs'}",0.12392426850258174,0.1325503355704698,0.10043290043290042,0.11897132710331382,0.013570880250801326,14
17,0.09308354059855144,0.010181279705753499,0.00797891616821289,6.743495761743046e-07,10,0,liblinear,"{'C': 10, 'random_state': 0, 'solver': 'liblinear'}",0.12392426850258174,0.13266162888329136,0.10043290043290042,0.11900842487425431,0.013608050748076847,12
18,0.2524721622467041,0.06695985080155728,0.006187121073404948,0.0016992486407194918,15,0,newton-cg,"{'C': 15, 'random_state': 0, 'solver': 'newton-cg'}",0.12553740326741186,0.13243922883487008,0.10043290043290042,0.11947215136549406,0.013751795694565248,2
19,0.1102432409922282,0.011935762716680615,0.007645845413208008,0.001244643741528317,15,0,lbfgs,"{'C': 15, 'random_state': 0, 'solver': 'lbfgs'}",0.12553740326741186,0.13243922883487008,0.10043290043290042,0.11947215136549406,0.013751795694565248,2
20,0.07830389340718587,0.0025318070342231144,0.006487210591634114,0.0012215538297496345,15,0,liblinear,"{'C': 15, 'random_state': 0, 'solver': 'liblinear'}",0.12553740326741186,0.13266162888329136,0.10043290043290042,0.11954628471496784,0.013821919624402858,1
