,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_max_iter,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3055172761281331,0.01803170197273827,0.13862943649291992,0.006463679244809984,0.001,linear,100,0,"{'C': 0.001, 'kernel': 'linear', 'max_iter': 100, 'random_state': 0}",0.3056583818085669,0.40772078265468004,0.032411820781696854,0.24862210734715906,0.1584302385337692,31
1,4.228284915288289,0.21177930071954296,1.5037625630696614,0.00953292822099496,0.001,linear,1000,0,"{'C': 0.001, 'kernel': 'linear', 'max_iter': 1000, 'random_state': 0}",0.4417420814479638,0.4712103407755581,0.4549431321084865,0.45596397155698315,0.01205282158073289,6
2,9.37158171335856,0.07825643227346486,3.9690872033437095,0.47963478990768565,0.001,linear,10000,0,"{'C': 0.001, 'kernel': 'linear', 'max_iter': 10000, 'random_state': 0}",0.0,0.0,0.0,0.0,0.0,33
3,0.4793845017751058,0.04278402055389146,0.18652947743733725,0.0229708139441958,0.001,rbf,100,0,"{'C': 0.001, 'kernel': 'rbf', 'max_iter': 100, 'random_state': 0}",0.39087410665200667,0.35356550580431173,0.4018502457357618,0.38209561065376263,0.020665495671891698,20
4,4.926274061203003,0.25167257643371677,2.117950439453125,0.18863760736701451,0.001,rbf,1000,0,"{'C': 0.001, 'kernel': 'rbf', 'max_iter': 1000, 'random_state': 0}",0.43463724506853896,0.46839498980483535,0.44781341107871725,0.4502806710506595,0.013892425809976473,14
5,9.229041258494059,0.42398494319529223,4.589940071105957,0.3405261201992015,0.001,rbf,10000,0,"{'C': 0.001, 'kernel': 'rbf', 'max_iter': 10000, 'random_state': 0}",0.0,0.0,0.0,0.0,0.0,33
6,0.3786621888478597,0.016320636047419113,0.13265339533487955,0.009399826380063715,0.001,sigmoid,100,0,"{'C': 0.001, 'kernel': 'sigmoid', 'max_iter': 100, 'random_state': 0}",0.3056583818085669,0.40772078265468004,0.08976660682226212,0.2677350982655572,0.13253756100653266,26
7,4.439985036849976,0.2990269453309975,1.8674739996592205,0.2207117512419958,0.001,sigmoid,1000,0,"{'C': 0.001, 'kernel': 'sigmoid', 'max_iter': 1000, 'random_state': 0}",0.45189323401613907,0.46800947867298576,0.4471730439748715,0.45569235268912384,0.008920154799096011,7
8,9.377685546875,0.8046448447018822,4.172741095225017,0.3059484080578825,0.001,sigmoid,10000,0,"{'C': 0.001, 'kernel': 'sigmoid', 'max_iter': 10000, 'random_state': 0}",0.0,0.0,0.0,0.0,0.0,33
9,0.401259978612264,0.040766489942566805,0.15059693654378256,0.02239031068437085,0.01,linear,100,0,"{'C': 0.01, 'kernel': 'linear', 'max_iter': 100, 'random_state': 0}",0.3056583818085669,0.43333333333333335,0.4317180616740088,0.3902250069691606,0.05981363429515131,19
10,4.058799584706624,0.08727512358891697,1.506968339284261,0.02586566469937241,0.01,linear,1000,0,"{'C': 0.01, 'kernel': 'linear', 'max_iter': 1000, 'random_state': 0}",0.4551351351351352,0.4702517162471397,0.45020920502092054,0.45853247151038545,0.008527278554199273,3
11,13.781686147054037,0.9782474235364417,5.311600526173909,0.19787511262049481,0.01,linear,10000,0,"{'C': 0.01, 'kernel': 'linear', 'max_iter': 10000, 'random_state': 0}",0.0,0.0,0.0,0.0,0.0,33
12,0.4667520523071289,0.040519792343561664,0.16322962443033853,0.00896972731892903,0.01,rbf,100,0,"{'C': 0.01, 'kernel': 'rbf', 'max_iter': 100, 'random_state': 0}",0.2593896713615023,0.40199888950583007,0.4069506726457399,0.3560995164921082,0.06842819201417677,23
13,4.447348515192668,0.40307966080116275,1.8858593304951985,0.08892416881483832,0.01,rbf,1000,0,"{'C': 0.01, 'kernel': 'rbf', 'max_iter': 1000, 'random_state': 0}",0.4608131997642899,0.4651296829971182,0.45448634590377107,0.46014365768058685,0.004370553399376095,2
14,9.482051531473795,0.7400897091186989,4.742902437845866,0.30381422213839027,0.01,rbf,10000,0,"{'C': 0.01, 'kernel': 'rbf', 'max_iter': 10000, 'random_state': 0}",0.0,0.0,0.0,0.0,0.0,33
15,0.37380456924438477,0.015149364892404168,0.13495341936747232,0.007535780935258764,0.01,sigmoid,100,0,"{'C': 0.01, 'kernel': 'sigmoid', 'max_iter': 100, 'random_state': 0}",0.3056583818085669,0.40772078265468004,0.08976660682226212,0.2677350982655572,0.13253756100653266,26
16,4.394809563954671,0.4790490492942533,1.6961679458618164,0.18099858223157633,0.01,sigmoid,1000,0,"{'C': 0.01, 'kernel': 'sigmoid', 'max_iter': 1000, 'random_state': 0}",0.45189323401613907,0.46800947867298576,0.4471730439748715,0.45569235268912384,0.008920154799096011,7
17,9.150073687235514,1.0200514305253117,3.8877829710642495,0.21904099697763832,0.01,sigmoid,10000,0,"{'C': 0.01, 'kernel': 'sigmoid', 'max_iter': 10000, 'random_state': 0}",0.0,0.0,0.0,0.0,0.0,33
18,0.37355677286783856,0.01690998443384045,0.13297716776529947,0.011782095034945546,0.1,linear,100,0,"{'C': 0.1, 'kernel': 'linear', 'max_iter': 100, 'random_state': 0}",0.013618677042801557,0.4115560060821085,0.38433066008636646,0.2698010447426024,0.18152629337486745,25
19,4.543426911036174,0.4650111510738104,1.8730058670043945,0.2285840772732526,0.1,linear,1000,0,"{'C': 0.1, 'kernel': 'linear', 'max_iter': 1000, 'random_state': 0}",0.45288045288045287,0.4800574919151994,0.4716351501668521,0.4681893080352649,0.01136001767450596,1
