,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,12.595539808273315,0.7304555927952371,0.11768507957458496,0.013553347629820373,entropy,100,0.25,100,0,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 0.25, 'n_estimators': 100, 'random_state': 0}",0.28549618320610687,0.2612681436210848,0.2831988261188555,0.27665459545008736,0.010920214808966211,1
1,62.99266719818115,1.9208707297943788,0.5392289161682129,0.02416350630020192,entropy,100,0.25,500,0,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 0.25, 'n_estimators': 500, 'random_state': 0}",0.2545454545454546,0.2608695652173913,0.26756352765321373,0.26099165273457775,0.005315306993988763,3
2,98.4217661221822,1.2525027916788305,0.8853073914845785,0.08496629724363818,entropy,100,0.25,1000,0,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 0.25, 'n_estimators': 1000, 'random_state': 0}",0.2470308788598575,0.24784313725490195,0.26736370425690814,0.2540773714697768,0.009398765751752393,5
3,12.686968247095743,0.48329699323407416,0.12765868504842123,0.013915266681707237,entropy,1000,0.25,100,0,"{'criterion': 'entropy', 'max_depth': 1000, 'max_features': 0.25, 'n_estimators': 100, 'random_state': 0}",0.28549618320610687,0.2612681436210848,0.2831988261188555,0.27665459545008736,0.010920214808966211,1
4,60.040004889170326,0.43762604697100593,0.4584408601125081,0.032788255864117814,entropy,1000,0.25,500,0,"{'criterion': 'entropy', 'max_depth': 1000, 'max_features': 0.25, 'n_estimators': 500, 'random_state': 0}",0.2545454545454546,0.2608695652173913,0.26756352765321373,0.26099165273457775,0.005315306993988763,3
5,91.9774542649587,0.9894213280675005,0.7018016974131266,0.05049008589766384,entropy,1000,0.25,1000,0,"{'criterion': 'entropy', 'max_depth': 1000, 'max_features': 0.25, 'n_estimators': 1000, 'random_state': 0}",0.2470308788598575,0.24784313725490195,0.26736370425690814,0.2540773714697768,0.009398765751752393,5
