,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_max_iter,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.050178845723470054,0.001707314499765389,0.022606452306111652,0.0012444100290534695,0.001,linear,100,0,"{'C': 0.001, 'kernel': 'linear', 'max_iter': 100, 'random_state': 0}",0.4541381749587362,0.4610328638497653,0.4658151765589783,0.4603276653006386,0.0047931247808392,3
1,0.9927492141723633,0.034030038439712834,0.3520689010620117,0.017872705030433672,0.001,linear,1000,0,"{'C': 0.001, 'kernel': 'linear', 'max_iter': 1000, 'random_state': 0}",0.4738955823293173,0.45918878317476214,0.4758842443729904,0.469656020527717,0.007445848393932902,1
2,2.288646936416626,0.05131085146842966,0.5748204390207926,0.024731093394923742,0.001,linear,10000,0,"{'C': 0.001, 'kernel': 'linear', 'max_iter': 10000, 'random_state': 0}",0.0,0.0,0.0,0.0,0.0,36
3,0.20416839917500815,0.04017775137097796,0.0751325289408366,0.010844114825245813,0.001,rbf,100,0,"{'C': 0.001, 'kernel': 'rbf', 'max_iter': 100, 'random_state': 0}",0.4540768509840675,0.45627906976744187,0.4643861293345829,0.4582464025718138,0.004432689310091714,5
4,1.8730227947235107,0.020553522982635714,0.46808846791585285,0.025919888271465737,0.001,rbf,1000,0,"{'C': 0.001, 'kernel': 'rbf', 'max_iter': 1000, 'random_state': 0}",0.45411764705882357,0.4552845528455285,0.4640262479493789,0.4578085719846146,0.0044213946138531215,11
5,3.4169178009033203,0.03759123347025748,1.055843750635783,0.02740213627584635,0.001,rbf,10000,0,"{'C': 0.001, 'kernel': 'rbf', 'max_iter': 10000, 'random_state': 0}",0.0,0.0,0.0,0.0,0.0,36
6,0.20529937744140625,0.01100695783504514,0.06981190045674641,0.004308224341558954,0.001,sigmoid,100,0,"{'C': 0.001, 'kernel': 'sigmoid', 'max_iter': 100, 'random_state': 0}",0.45013850415512463,0.4513031550068587,0.4598286640426024,0.4537558838436858,0.004319468095110278,20
7,1.6143735249837239,0.024379512645027204,0.5518573125203451,0.00878321683525495,0.001,sigmoid,1000,0,"{'C': 0.001, 'kernel': 'sigmoid', 'max_iter': 1000, 'random_state': 0}",0.45013850415512463,0.4515096065873742,0.4598286640426024,0.45382470103719097,0.0042813194703222235,18
8,3.9996086756388345,0.10971114149902343,1.1429439385732014,0.011744835588969493,0.001,sigmoid,10000,0,"{'C': 0.001, 'kernel': 'sigmoid', 'max_iter': 10000, 'random_state': 0}",0.0,0.0,0.0,0.0,0.0,36
9,0.11967984835306804,0.014926208269104877,0.04123814900716146,0.002842860496761001,0.01,linear,100,0,"{'C': 0.01, 'kernel': 'linear', 'max_iter': 100, 'random_state': 0}",0.45405150011811946,0.4610328638497653,0.4574909997230684,0.45752480512889276,0.002850426418404568,13
10,0.9999927679697672,0.0533508419872094,0.3141617774963379,0.007462891737574293,0.01,linear,1000,0,"{'C': 0.01, 'kernel': 'linear', 'max_iter': 1000, 'random_state': 0}",0.46213592233009715,0.47111580058032176,0.4648520710059172,0.4660343483490374,0.0037603398207438294,2
11,2.250892480214437,0.038106500833315016,0.6404800415039062,0.0310685791078373,0.01,linear,10000,0,"{'C': 0.01, 'kernel': 'linear', 'max_iter': 10000, 'random_state': 0}",0.0,0.0,0.0,0.0,0.0,36
12,0.17885533968607584,0.028213254479959662,0.06316479047139485,0.004016491613335912,0.01,rbf,100,0,"{'C': 0.01, 'kernel': 'rbf', 'max_iter': 100, 'random_state': 0}",0.4540768509840675,0.45627906976744187,0.4643861293345829,0.4582464025718138,0.004432689310091714,5
13,1.5683363278706868,0.047141107918903954,0.506645917892456,0.006463495298056151,0.01,rbf,1000,0,"{'C': 0.01, 'kernel': 'rbf', 'max_iter': 1000, 'random_state': 0}",0.45411764705882357,0.4552845528455285,0.4640262479493789,0.4578085719846146,0.0044213946138531215,11
14,3.2864736715952554,0.06874827242190716,1.0588844617207844,0.018629204510328887,0.01,rbf,10000,0,"{'C': 0.01, 'kernel': 'rbf', 'max_iter': 10000, 'random_state': 0}",0.0,0.0,0.0,0.0,0.0,36
15,0.18984651565551758,0.010079045520808391,0.06582450866699219,0.0035499031570435827,0.01,sigmoid,100,0,"{'C': 0.01, 'kernel': 'sigmoid', 'max_iter': 100, 'random_state': 0}",0.45013850415512463,0.4513031550068587,0.4598286640426024,0.4537558838436858,0.004319468095110278,20
16,1.7165141900380452,0.010286276535030557,0.5335725943247477,0.011016103706141188,0.01,sigmoid,1000,0,"{'C': 0.01, 'kernel': 'sigmoid', 'max_iter': 1000, 'random_state': 0}",0.45013850415512463,0.4515096065873742,0.4598286640426024,0.45382470103719097,0.0042813194703222235,18
17,3.8718143304189048,0.11719425516480773,1.0942448774973552,0.01714520185092844,0.01,sigmoid,10000,0,"{'C': 0.01, 'kernel': 'sigmoid', 'max_iter': 10000, 'random_state': 0}",0.0,0.0,0.0,0.0,0.0,36
18,0.10837737719217937,0.006002388564829115,0.039560953776041664,0.0012432843545312142,0.1,linear,100,0,"{'C': 0.1, 'kernel': 'linear', 'max_iter': 100, 'random_state': 0}",0.09712722298221613,0.40111614928496686,0.4667786039817702,0.3216400198946745,0.16103389835501444,31
19,1.0040400822957356,0.045894490111210696,0.3005536397298177,0.007884428278327128,0.1,linear,1000,0,"{'C': 0.1, 'kernel': 'linear', 'max_iter': 1000, 'random_state': 0}",0.45674904942965777,0.4376480723670041,0.45529899348727054,0.44989883835959615,0.008682803543901815,24
