,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.10238099098205566,0.0441963200873557,0.0036689440409342446,0.0009574640065714834,0.001,0,newton-cg,"{'C': 0.001, 'random_state': 0, 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,11
1,0.016312360763549805,0.0004819596439695508,0.002648433049519857,0.00046483227930963573,0.001,0,lbfgs,"{'C': 0.001, 'random_state': 0, 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,11
2,0.013988415400187174,1.9166968987348346e-05,0.002323786417643229,0.0004728257540844215,0.001,0,liblinear,"{'C': 0.001, 'random_state': 0, 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,11
3,0.0857698122660319,0.005700392197649581,0.002991755803426107,2.247831920581015e-07,0.01,0,newton-cg,"{'C': 0.01, 'random_state': 0, 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,11
4,0.02593072255452474,0.00081458810475976,0.0033243497212727866,0.0004699654688748367,0.01,0,lbfgs,"{'C': 0.01, 'random_state': 0, 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,11
5,0.02061152458190918,0.0004701902520620762,0.0029919942220052085,2.247831920581015e-07,0.01,0,liblinear,"{'C': 0.01, 'random_state': 0, 'solver': 'liblinear'}",0.0039177277179236044,0.003913894324853229,0.0,0.0026109007331007717,0.0018458045312497512,10
6,0.11702903111775716,0.025241919625061244,0.0039895375569661455,9.602742174144247e-07,0.1,0,newton-cg,"{'C': 0.1, 'random_state': 0, 'solver': 'newton-cg'}",0.07097361237488627,0.06038426349496798,0.04967801287948482,0.06034725338602593,0.008693931146107932,8
7,0.03856388727823893,0.0016960743396153791,0.0038396517435709634,0.0002116895934975933,0.1,0,lbfgs,"{'C': 0.1, 'random_state': 0, 'solver': 'lbfgs'}",0.07097361237488627,0.06038426349496798,0.04967801287948482,0.06034725338602593,0.008693931146107932,8
8,0.030754804611206055,0.0020115518083391594,0.0033241907755533853,0.0004697406856876018,0.1,0,liblinear,"{'C': 0.1, 'random_state': 0, 'solver': 'liblinear'}",0.07090909090909091,0.06392694063926942,0.049586776859504134,0.06147622906069056,0.00887561268864823,7
9,0.11586117744445801,0.029903231722661437,0.003988981246948242,1.9466795466607238e-07,1,0,newton-cg,"{'C': 1, 'random_state': 0, 'solver': 'newton-cg'}",0.1063644289450741,0.11458333333333334,0.07130124777183601,0.09741955910609376,0.018767045663885616,5
10,0.06316550572713216,0.017262423586310863,0.004985968271891276,0.0008140040543759557,1,0,lbfgs,"{'C': 1, 'random_state': 0, 'solver': 'lbfgs'}",0.1063644289450741,0.11458333333333334,0.07130124777183601,0.09741955910609376,0.018767045663885616,5
11,0.0561837355295817,0.012650255748454992,0.005156358083089192,0.0008484735027079813,1,0,liblinear,"{'C': 1, 'random_state': 0, 'solver': 'liblinear'}",0.10645724258289703,0.11458333333333334,0.07130124777183601,0.09745050551524931,0.018781840717104915,4
12,0.12001991271972656,0.054103745610681465,0.003666480382283529,0.0004569285416365336,10,0,newton-cg,"{'C': 10, 'random_state': 0, 'solver': 'newton-cg'}",0.109375,0.1157167530224525,0.07282415630550622,0.09930866225312018,0.01890167718003104,2
13,0.05668505032857259,0.002716670542786152,0.003989299138387044,4.899036091938795e-07,10,0,lbfgs,"{'C': 10, 'random_state': 0, 'solver': 'lbfgs'}",0.109375,0.1157167530224525,0.07282415630550622,0.09930866225312018,0.01890167718003104,2
14,0.04671231905619303,0.0006255367298407494,0.003988822301228841,2.247831920581015e-07,10,0,liblinear,"{'C': 10, 'random_state': 0, 'solver': 'liblinear'}",0.109375,0.11734253666954271,0.07282415630550622,0.09985059013548359,0.019381557616610007,1
