,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_random_state,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.017287731170654297,0.0004706966482471381,0.003001530965169271,1.343396959009646e-05,gini,10,0.1,0,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.1, 'random_state': 0, 'splitter': 'best'}",0.3383503913305238,0.2721814543028686,0.24879725085910653,0.28645126239488694,0.0379267861095827,29
1,0.0056612491607666016,0.000477411440894186,0.0029823780059814453,2.5860082658242206e-05,gini,10,0.1,0,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.1, 'random_state': 0, 'splitter': 'random'}",0.011661807580174927,0.02309913378248316,0.0058309037900874635,0.013531150930318737,0.007172148957398716,35
2,0.03789655367533366,0.0008026329114005722,0.0036502679189046225,0.0004774961818291104,gini,10,0.25,0,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.25, 'random_state': 0, 'splitter': 'best'}",0.32429378531073444,0.34935897435897434,0.3347483323226198,0.3361327365232206,0.01028022086970191,26
3,0.00831747055053711,0.0004801369376994445,0.002995014190673828,3.5416730173678704e-06,gini,10,0.25,0,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.25, 'random_state': 0, 'splitter': 'random'}",0.1796042617960426,0.11192214111922143,0.03881700554528651,0.11012740830279089,0.057490163236195685,31
4,0.07046866416931152,0.0012553552590276922,0.003324747085571289,0.00047002165459349024,gini,10,0.5,0,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.5, 'random_state': 0, 'splitter': 'best'}",0.3624595469255664,0.31394692264257484,0.36516264428121725,0.34718945619283775,0.02353191041005017,23
5,0.010970751444498697,0.0008142960621244942,0.0033241907755533853,0.00047024643778554833,gini,10,0.5,0,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.5, 'random_state': 0, 'splitter': 'random'}",0.10122448979591837,0.13548387096774192,0.07130124777183601,0.10267261955705075,0.026220650267088537,32
6,0.02327108383178711,0.0004705279100741984,0.0036567052205403647,0.0004702468004255965,gini,100,0.1,0,best,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.1, 'random_state': 0, 'splitter': 'best'}",0.359275575134606,0.3733719247467438,0.37899999999999995,0.3705473538870315,0.008296460172074777,7
7,0.010969877243041992,0.0008147828812263627,0.00399009386698405,2.9736021254650284e-07,gini,100,0.1,0,random,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.1, 'random_state': 0, 'splitter': 'random'}",0.32525252525252524,0.3460764587525151,0.35849975645396975,0.34327319128881795,0.013717101394214424,24
8,0.06582506497701009,0.01663065051723178,0.004654328028361003,0.00124392150272785,gini,100,0.25,0,best,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.25, 'random_state': 0, 'splitter': 'best'}",0.3529411764705882,0.3774131274131274,0.37912358444116195,0.36982355652480103,0.011960512766558108,9
9,0.024600823720296223,0.0004699094242864974,0.007646799087524414,0.00047035919193497323,gini,100,0.25,0,random,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.25, 'random_state': 0, 'splitter': 'random'}",0.36878727634194836,0.35410484668644904,0.37383177570093457,0.3655741693035501,0.008367427479357776,15
10,0.13895368576049805,0.03130061255250152,0.00598446528116862,0.0016287867805687207,gini,100,0.5,0,best,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.5, 'random_state': 0, 'splitter': 'best'}",0.3611111111111111,0.38598223099703854,0.36229749631811486,0.3697968371093515,0.011455045727037563,11
11,0.03091732660929362,0.0037321892693181874,0.005319118499755859,0.0012436241729904729,gini,100,0.5,0,random,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.5, 'random_state': 0, 'splitter': 'random'}",0.3474787818272591,0.36834245893479345,0.3921951219512195,0.36933467799107744,0.01826884605939321,13
12,0.023935635884602863,4.899036091938795e-07,0.003324747085571289,0.0004696845201469649,gini,1000,0.1,0,best,"{'criterion': 'gini', 'max_depth': 1000, 'max_features': 0.1, 'random_state': 0, 'splitter': 'best'}",0.359275575134606,0.3733719247467438,0.37899999999999995,0.3705473538870315,0.008296460172074777,7
13,0.010637998580932617,0.000470021815843959,0.004656394322713216,0.0009391461939775436,gini,1000,0.1,0,random,"{'criterion': 'gini', 'max_depth': 1000, 'max_features': 0.1, 'random_state': 0, 'splitter': 'random'}",0.32525252525252524,0.3460764587525151,0.35849975645396975,0.34327319128881795,0.013717101394214424,24
14,0.0658257007598877,0.01774594309775104,0.004654248555501302,0.0009408300704986406,gini,1000,0.25,0,best,"{'criterion': 'gini', 'max_depth': 1000, 'max_features': 0.25, 'random_state': 0, 'splitter': 'best'}",0.3529411764705882,0.3774131274131274,0.37912358444116195,0.36982355652480103,0.011960512766558108,9
15,0.026595354080200195,0.003083012227676208,0.006981690724690755,1.1239159602905075e-07,gini,1000,0.25,0,random,"{'criterion': 'gini', 'max_depth': 1000, 'max_features': 0.25, 'random_state': 0, 'splitter': 'random'}",0.36878727634194836,0.35410484668644904,0.37383177570093457,0.3655741693035501,0.008367427479357776,15
16,0.13962817192077637,0.02495107449467664,0.006316820780436198,0.0009403243335152026,gini,1000,0.5,0,best,"{'criterion': 'gini', 'max_depth': 1000, 'max_features': 0.5, 'random_state': 0, 'splitter': 'best'}",0.3611111111111111,0.38598223099703854,0.36229749631811486,0.3697968371093515,0.011455045727037563,11
