,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_random_state,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,1.255642255147298,0.04585595662574891,0.016622066497802734,0.005890901759025451,gini,10,0.1,0,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.1, 'random_state': 0, 'splitter': 'best'}",0.1073345259391771,0.12987012987012986,0.13886536833192212,0.12535377692471697,0.013262643516057392,30
1,1.2888874212900798,0.051407534861804514,0.011635939280192057,0.0004703027242327683,gini,10,0.1,0,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.1, 'random_state': 0, 'splitter': 'random'}",0.05471698113207547,0.11744084136722173,0.07522935779816514,0.08246050827701773,0.026113944786301767,34
2,2.960417906443278,0.0719615412093106,0.01430964469909668,0.0033118993688585952,gini,10,0.25,0,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.25, 'random_state': 0, 'splitter': 'best'}",0.16680567139282734,0.17067108533554265,0.12283737024221453,0.15344208315627797,0.02169380444349391,27
3,3.112722396850586,0.07125625099716701,0.021276315053304035,0.006002494181138105,gini,10,0.25,0,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.25, 'random_state': 0, 'splitter': 'random'}",0.07853881278538813,0.12227074235807861,0.11130742049469965,0.10403598033562358,0.018580012592518572,33
4,5.8028636773427325,0.37032231566574736,0.011968135833740234,0.0016285921436397716,gini,10,0.5,0,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.5, 'random_state': 0, 'splitter': 'best'}",0.2020684168655529,0.16887417218543047,0.17377049180327866,0.1815736276246182,0.014632162105639779,26
5,5.7500050862630205,0.03570354078658003,0.01163498560587565,0.00047030264365569767,gini,10,0.5,0,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.5, 'random_state': 0, 'splitter': 'random'}",0.13402959094865102,0.14691151919866444,0.11433597185576076,0.13176083724329107,0.013394452176383484,29
6,6.592799584070842,0.3641032468436754,0.011967976888020834,0.0014103459461292593,gini,100,0.1,0,best,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.1, 'random_state': 0, 'splitter': 'best'}",0.3295978905735003,0.34831460674157305,0.33311475409836067,0.3370087605930521,0.008122343663360326,22
7,7.547550996144612,0.6331540295750729,0.010970671971638998,2.9736021254650284e-07,gini,100,0.1,0,random,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.1, 'random_state': 0, 'splitter': 'random'}",0.35490326884589724,0.3604874919820398,0.33607681755829905,0.35049092300874607,0.01044213751150453,16
8,7.385316769282023,0.29518768276560925,0.01163625717163086,0.0009400433898122252,gini,100,0.25,0,best,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.25, 'random_state': 0, 'splitter': 'best'}",0.36630504148053605,0.3946078431372549,0.3365200764818356,0.3658137243703101,0.023715142487559335,14
9,8.768629868825277,0.9689808399150964,0.014295021692911783,0.004701452869612031,gini,100,0.25,0,random,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.25, 'random_state': 0, 'splitter': 'random'}",0.37433862433862436,0.3481675392670157,0.34505640345056404,0.35585688015198425,0.01313282328552596,15
