,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_decision_function_shape,param_kernel,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5701372146606445,0.10482503879117505,0.1063166618347168,0.023673770420428362,0.001,ovo,linear,100,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'linear', 'max_iter': 100}",0.4281734978113808,0.43688167787890775,0.43208895949166004,0.43629191321499017,0.4329244163039177,0.4332720929401713,0.003151659055477574,67
1,2.766102695465088,0.2803286044944621,0.6041855335235595,0.14335400944142018,0.001,ovo,linear,500,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'linear', 'max_iter': 500}",0.43148222133439873,0.4391201885310291,0.43433133732534923,0.43742597710225034,0.43118536197295154,0.43470901725319583,0.0031563049100875092,63
2,7.535887813568115,0.7459642077211575,1.7126922130584716,0.06787186674859463,0.001,ovo,linear,1000,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'linear', 'max_iter': 1000}",0.43226062773142626,0.43962115232833465,0.4342629482071713,0.43412698412698414,0.4305722288915566,0.43416878825709465,0.0030435243882183712,65
3,21.725394630432127,1.1787960054788378,3.624628210067749,0.2576545851637414,0.001,ovo,linear,5000,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'linear', 'max_iter': 5000}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,257
4,20.65349488258362,0.9224921614513079,3.5194411277770996,0.06173099347687322,0.001,ovo,linear,10000,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'linear', 'max_iter': 10000}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,257
5,0.6053807258605957,0.0558717468968747,0.09833722114562989,0.009131771445361344,0.001,ovo,poly,100,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'poly', 'max_iter': 100}",0.4386792452830189,0.4397330192383196,0.43885174990169085,0.4392927308447937,0.4392927308447937,0.43916989522252325,0.00037127877549542905,37
6,2.4443788051605226,0.2119863544242121,0.506946611404419,0.07591115939740115,0.001,ovo,poly,500,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'poly', 'max_iter': 500}",0.4391201885310291,0.4391201885310291,0.4386792452830189,0.4392927308447937,0.4392927308447937,0.43910101680693286,0.00022455951238822082,43
7,5.030809164047241,0.4312748805003314,1.0479145050048828,0.1187054963667797,0.001,ovo,poly,1000,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'poly', 'max_iter': 1000}",0.43806527723161626,0.4397330192383196,0.43885174990169085,0.4392927308447937,0.4392927308447937,0.43904710161224275,0.0005644983321035014,45
8,19.650546503067016,0.6054486725605867,3.896379852294922,0.3323702178422426,0.001,ovo,poly,5000,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'poly', 'max_iter': 5000}",0.0035650623885918,0.0035650623885918,0.0,0.0,0.0,0.00142602495543672,0.0017465167506475422,253
9,19.98000888824463,0.8508271325671141,4.042893743515014,0.35931896050869566,0.001,ovo,poly,10000,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'poly', 'max_iter': 10000}",0.0035650623885918,0.0035650623885918,0.0,0.0,0.0,0.00142602495543672,0.0017465167506475422,253
10,0.39394636154174806,0.06960248225542125,0.08816404342651367,0.01398530695465228,0.001,ovo,rbf,100,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'rbf', 'max_iter': 100}",0.23071161048689137,0.2357194504699928,0.23287671232876714,0.20456217807211183,0.22938530734632684,0.226651051740818,0.011250576307605514,225
11,2.420343780517578,0.12707927833340774,0.4873098373413086,0.08264879396843665,0.001,ovo,rbf,500,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'rbf', 'max_iter': 500}",0.33203125,0.29775662814411963,0.30526315789473685,0.2927461139896373,0.3603238866396761,0.31762420733363395,0.025287393166336578,203
12,5.668111753463745,0.43025273079359794,1.279008388519287,0.16130529242115665,0.001,ovo,rbf,1000,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'rbf', 'max_iter': 1000}",0.5110410094637223,0.47506925207756234,0.5075653370013755,0.5096731154102735,0.492599171107164,0.4991895770120195,0.01375309353446553,1
13,17.380206918716432,1.0869965890079198,3.9227623462677004,0.33209471643986493,0.001,ovo,rbf,5000,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'rbf', 'max_iter': 5000}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,257
14,17.32098169326782,0.9299602869816224,4.122168731689453,0.5032534626929832,0.001,ovo,rbf,10000,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'rbf', 'max_iter': 10000}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,257
15,1.0313483715057372,0.18788170131256293,0.24784393310546876,0.023200632738024883,0.001,ovo,sigmoid,100,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'sigmoid', 'max_iter': 100}",0.44704505558806323,0.45358401880141014,0.4451038575667656,0.465195246179966,0.43698468786808015,0.44958257320085704,0.009433681451807384,25
16,4.165361595153809,0.4065563272006725,0.997133207321167,0.08358463798213754,0.001,ovo,sigmoid,500,"{'C': 0.001, 'decision_function_shape': 'ovo', 'kernel': 'sigmoid', 'max_iter': 500}",0.4505882352941176,0.45535186280307505,0.44910179640718567,0.4614512471655329,0.4386792452830188,0.451034477390586,0.00753306123124373,21
