,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.10220702489217122,0.06946144146985928,0.002991914749145508,1.9466795466607238e-07,0.001,0,newton-cg,"{'C': 0.001, 'random_state': 0, 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,25
1,0.01695410410563151,0.0016283975028396195,0.004334211349487305,0.0004873862436518113,0.001,0,lbfgs,"{'C': 0.001, 'random_state': 0, 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,25
2,0.019281466801961262,0.0016953262159386017,0.003324429194132487,0.0004700778604684559,0.001,0,liblinear,"{'C': 0.001, 'random_state': 0, 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,25
3,0.11472725868225098,0.011833382762859326,0.003657182057698568,0.00046923495380149933,0.01,0,newton-cg,"{'C': 0.01, 'random_state': 0, 'solver': 'newton-cg'}",0.06554307116104868,0.04247460757156048,0.03932584269662921,0.04911691659335649,0.011688340511877702,23
4,0.03541866938273112,0.006391856646887577,0.004321098327636719,0.0004700226624080126,0.01,0,lbfgs,"{'C': 0.01, 'random_state': 0, 'solver': 'lbfgs'}",0.06554307116104868,0.04247460757156048,0.03932584269662921,0.04911691659335649,0.011688340511877702,23
5,0.028772274653116863,0.0024682744455559345,0.0036663214365641275,0.0004566470961593599,0.01,0,liblinear,"{'C': 0.01, 'random_state': 0, 'solver': 'liblinear'}",0.07276119402985075,0.05489478499542543,0.042870456663560104,0.05684489228754485,0.01228050533525901,22
6,0.2517983913421631,0.18069373030926508,0.005650440851847331,0.0012437943368479153,0.1,0,newton-cg,"{'C': 0.1, 'random_state': 0, 'solver': 'newton-cg'}",0.1446179129005752,0.14898785425101213,0.1127946127946128,0.13546971798226026,0.016129385074002335,19
7,0.050202131271362305,0.0032911407570843524,0.0046545664469401045,0.0009411110343826174,0.1,0,lbfgs,"{'C': 0.1, 'random_state': 0, 'solver': 'lbfgs'}",0.1446179129005752,0.14898785425101213,0.1127946127946128,0.13546971798226026,0.016129385074002335,19
8,0.04754821459452311,0.00594478891091656,0.0046880245208740234,0.0009929873835933408,0.1,0,liblinear,"{'C': 0.1, 'random_state': 0, 'solver': 'liblinear'}",0.14380165289256197,0.1462225832656377,0.11336717428087986,0.13446660050925036,0.014949173944067924,21
9,0.17071262995402017,0.0708901626896301,0.006648858388264974,0.0018811544014889596,1,0,newton-cg,"{'C': 1, 'random_state': 0, 'solver': 'newton-cg'}",0.15645161290322582,0.1809598741148702,0.14959349593495935,0.16233562460138776,0.013463665762565432,17
10,0.12831823031107584,0.05543816778184159,0.006980498631795247,0.0021531372510820244,1,0,lbfgs,"{'C': 1, 'random_state': 0, 'solver': 'lbfgs'}",0.15632554391619663,0.1809598741148702,0.14959349593495935,0.16229359001955318,0.01348215457779811,18
11,0.09488121668497722,0.018590991462044768,0.00831151008605957,0.00047103333986194185,1,0,liblinear,"{'C': 1, 'random_state': 0, 'solver': 'liblinear'}",0.15632554391619663,0.18138801261829654,0.1513425549227014,0.16301916177228548,0.013147079660713051,16
12,0.33504827817281085,0.16369579696511827,0.005984147389729817,0.0008144912186081123,5,0,newton-cg,"{'C': 5, 'random_state': 0, 'solver': 'newton-cg'}",0.15942028985507248,0.18238993710691825,0.1539708265802269,0.16526085200449392,0.012314715567596071,14
13,0.07792369524637859,0.007772913004894437,0.0066496531168619795,0.0004709772346025081,5,0,lbfgs,"{'C': 5, 'random_state': 0, 'solver': 'lbfgs'}",0.15929203539823006,0.18238993710691825,0.1539708265802269,0.1652180887318697,0.012335128637211682,15
14,0.11643067995707194,0.021586403168691176,0.00797883669535319,0.0008138097123816643,5,0,liblinear,"{'C': 5, 'random_state': 0, 'solver': 'liblinear'}",0.15942028985507248,0.1838177533385703,0.1553398058252427,0.16619299134964868,0.012573431341194622,2
15,0.3131130536397298,0.10306768516145352,0.006317694981892903,0.0016956535103770903,10,0,newton-cg,"{'C': 10, 'random_state': 0, 'solver': 'newton-cg'}",0.15942028985507248,0.1836734693877551,0.15546558704453442,0.16618681221276285,0.012469891810529992,4
16,0.11072071393330891,0.007752495422593969,0.008977254231770834,0.000812641938288029,10,0,lbfgs,"{'C': 10, 'random_state': 0, 'solver': 'lbfgs'}",0.15942028985507248,0.1838177533385703,0.15546558704453442,0.16623490686303458,0.01253733852456726,1
17,0.1430052121480306,0.01266838297278967,0.0249326229095459,0.023991684001815682,10,0,liblinear,"{'C': 10, 'random_state': 0, 'solver': 'liblinear'}",0.15942028985507248,0.1838177533385703,0.1553398058252427,0.16619299134964868,0.012573431341194622,2
18,0.28498180707295734,0.14011709233573813,0.00682528813680013,0.001017439962805908,15,0,newton-cg,"{'C': 15, 'random_state': 0, 'solver': 'newton-cg'}",0.15942028985507248,0.1836734693877551,0.15546558704453442,0.16618681221276285,0.012469891810529992,4
19,0.11476906140645345,0.025559972823310503,0.007646640141805013,0.00046974189578813977,15,0,lbfgs,"{'C': 15, 'random_state': 0, 'solver': 'lbfgs'}",0.15942028985507248,0.1836734693877551,0.15546558704453442,0.16618681221276285,0.012469891810529992,4
20,0.15026450157165527,0.0016941729756065184,0.007646401723225911,0.000470583974953851,15,0,liblinear,"{'C': 15, 'random_state': 0, 'solver': 'liblinear'}",0.15942028985507248,0.1836734693877551,0.1553398058252427,0.16614489669937696,0.012506018085487696,8
