,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_random_state,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.01796118418375651,1.3543537083361882e-05,0.002982934315999349,1.3206371225125279e-05,gini,10,0.1,0,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.1, 'random_state': 0, 'splitter': 'best'}",0.3408951563458001,0.3202846975088968,0.3292127521145088,0.3301319423081096,0.008439818803896298,29
1,0.006326595942179362,0.00046299624881434827,0.003002643585205078,1.5004593773287353e-05,gini,10,0.1,0,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.1, 'random_state': 0, 'splitter': 'random'}",0.030360531309297913,0.028248587570621472,0.015296367112810705,0.02463654644424488,0.006659198512639009,35
2,0.04785259564717611,0.004873713445749336,0.0033240318298339844,0.00047019049385102864,gini,10,0.25,0,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.25, 'random_state': 0, 'splitter': 'best'}",0.38164521544487967,0.35509983810037776,0.383664696399785,0.3734697310513477,0.013015613726773774,22
3,0.010301351547241211,0.0020540401759059847,0.003656784693400065,0.0009402680923790386,gini,10,0.25,0,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.25, 'random_state': 0, 'splitter': 'random'}",0.17000801924619086,0.042910447761194036,0.1388429752066116,0.11725667824227597,0.05408842429515474,32
4,0.09274204572041829,0.008154740696901724,0.006317138671875,0.000941055558398232,gini,10,0.5,0,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.5, 'random_state': 0, 'splitter': 'best'}",0.36432843936922243,0.4175609756097561,0.39850825785828453,0.3934627497070365,0.02202435537503244,5
5,0.012633244196573893,0.00047047126125170747,0.003989219665527344,0.0008141013864135147,gini,10,0.5,0,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.5, 'random_state': 0, 'splitter': 'random'}",0.06707855251544573,0.12241653418124007,0.2005813953488372,0.13001322466099427,0.05476637777642308,31
6,0.02759265899658203,0.0016948274547809855,0.003989458084106445,1.9466795466607238e-07,gini,100,0.1,0,best,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.1, 'random_state': 0, 'splitter': 'best'}",0.38195488721804516,0.39747327502429547,0.3779603673272112,0.38579654363281457,0.008416198230314849,10
7,0.011967976888020834,0.0008142960621244942,0.004321893056233724,0.00047030264365569767,gini,100,0.1,0,random,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.1, 'random_state': 0, 'splitter': 'random'}",0.363265306122449,0.3652258377853327,0.3790849673202614,0.3691905831966652,0.007040588042672444,25
8,0.07286604245503743,0.013364307483692092,0.0063169002532958984,0.0016952016679457097,gini,100,0.25,0,best,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.25, 'random_state': 0, 'splitter': 'best'}",0.39476236663433556,0.4027040077257364,0.37741312741312744,0.39162809504371066,0.010559542318788966,6
9,0.02892271677652995,0.004071090937482983,0.010638157526652018,0.0004704713820739898,gini,100,0.25,0,random,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.25, 'random_state': 0, 'splitter': 'random'}",0.37398373983739847,0.36622390891840606,0.38622028141678794,0.3754748521454291,0.008230763332470428,20
