,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_random_state,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,1.2831892172495525,0.026301231989021887,0.011975844701131185,0.001421641298171463,gini,10,0.1,0,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.1, 'random_state': 0, 'splitter': 'best'}",0.1057347670250896,0.16680429397192403,0.14383561643835618,0.13878805755065463,0.025187308726484083,25
1,1.294315258661906,0.008232403435316523,0.014627774556477865,0.004485016820827095,gini,10,0.1,0,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.1, 'random_state': 0, 'splitter': 'random'}",0.07868252516010979,0.10471204188481675,0.09454545454545456,0.09264521600762125,0.010711811003187138,35
2,2.7900447845458984,0.04729050240717038,0.011661926905314127,0.0009468540520667012,gini,10,0.25,0,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.25, 'random_state': 0, 'splitter': 'best'}",0.1424936386768448,0.15136054421768708,0.12094653812445226,0.13826888725635586,0.012770094967683427,26
3,2.8372881412506104,0.143112624275045,0.011331001917521158,0.0004692407281360957,gini,10,0.25,0,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.25, 'random_state': 0, 'splitter': 'random'}",0.16680567139282734,0.10412926391382406,0.10704727921498661,0.12599956350171482,0.028884814858372868,29
4,5.520679950714111,0.20042574875992106,0.01533834139506022,0.004188354990364917,gini,10,0.5,0,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.5, 'random_state': 0, 'splitter': 'best'}",0.14505119453924917,0.13593882752761258,0.10815602836879433,0.12971874093339722,0.015691407494693225,27
5,5.633899450302124,0.1491642409751388,0.01799154281616211,0.009197422462945136,gini,10,0.5,0,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.5, 'random_state': 0, 'splitter': 'random'}",0.11961301671064205,0.13917525773195877,0.09927797833935018,0.11935728645147574,0.01628787745098794,30
6,6.729716618855794,0.3996833133515182,0.018323580423990887,0.0033260933256565855,gini,100,0.1,0,best,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.1, 'random_state': 0, 'splitter': 'best'}",0.3513337670787249,0.3634085213032582,0.3606770833333333,0.35847226522334324,0.0051703872236856735,16
7,7.144383668899536,0.216572004979334,0.013686498006184896,0.0016984447194796565,gini,100,0.1,0,random,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.1, 'random_state': 0, 'splitter': 'random'}",0.32204561161022804,0.35384615384615387,0.3272971160295104,0.33439581119795164,0.013919565270790432,23
8,9.619658470153809,0.18271162419733483,0.012992223103841146,0.0008143617011589684,gini,100,0.25,0,best,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.25, 'random_state': 0, 'splitter': 'best'}",0.3704180064308682,0.3602484472049689,0.34270765206017,0.3577939152388373,0.011445070718421714,17
9,9.53311594327291,0.9001219741851911,0.019167423248291016,0.00734468995866096,gini,100,0.25,0,random,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.25, 'random_state': 0, 'splitter': 'random'}",0.3976759199483538,0.3623376623376623,0.32705248990578734,0.36236184792479675,0.02883189855773931,14
10,11.37175210316976,0.43764274755665417,0.01298666000366211,0.0008148330175442343,gini,100,0.5,0,best,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.5, 'random_state': 0, 'splitter': 'best'}",0.36784565916398715,0.36739811912225706,0.35974025974025975,0.3649954242552664,0.003719684634833324,13
11,10.843896547953287,0.2597588235410706,0.014675378799438477,0.0017011716573535002,gini,100,0.5,0,random,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 0.5, 'random_state': 0, 'splitter': 'random'}",0.36721311475409835,0.3705552089831565,0.34782608695652173,0.36186658529676735,0.010019425823069344,15
12,10.02442487080892,0.5195777109505171,0.0220029354095459,0.0008499173473081575,gini,1000,0.1,0,best,"{'criterion': 'gini', 'max_depth': 1000, 'max_features': 0.1, 'random_state': 0, 'splitter': 'best'}",0.4383133784487246,0.4186813186813187,0.4148541114058355,0.42395175882976527,0.010276751970914995,5
13,10.10210100809733,0.013246578154483525,0.02168107032775879,0.0009609481657662076,gini,1000,0.1,0,random,"{'criterion': 'gini', 'max_depth': 1000, 'max_features': 0.1, 'random_state': 0, 'splitter': 'random'}",0.4345434543454345,0.4033802816901408,0.4245524296675192,0.42082630677601335,0.012993023387042772,8
14,14.269542296727499,0.6402007607402945,0.021184444427490234,0.0006175799979841328,gini,1000,0.25,0,best,"{'criterion': 'gini', 'max_depth': 1000, 'max_features': 0.25, 'random_state': 0, 'splitter': 'best'}",0.42734122712594186,0.4242424242424242,0.4178154825026511,0.42313392007120687,0.0039670759219542625,6
15,15.679907401402792,0.844126636995447,0.02966006596883138,0.012286257656544638,gini,1000,0.25,0,random,"{'criterion': 'gini', 'max_depth': 1000, 'max_features': 0.25, 'random_state': 0, 'splitter': 'random'}",0.45483528161530284,0.4096520763187429,0.4361210877373012,0.4335378684536213,0.018537413625840108,1
